Date,Open,High,Low,Close,Volume,Adj Close
2013-01-22,148.33,150.25,147.98,150.25,127507800,145.93
2013-01-14,146.89,148.49,146.20,148.33,118265700,144.06
2013-01-07,145.85,147.15,144.98,147.07,113333100,142.84
2012-12-31,139.66,146.61,139.54,146.37,174393400,142.16
2012-12-24,142.48,142.71,139.87,140.03,119387400,136.00
2012-12-17,142.47,145.58,141.94,142.79,177253400,138.68
2012-12-10,142.21,144.55,141.88,142.10,134141500,137.04
2012-12-03,142.80,142.92,140.37,142.41,122283200,137.34
2012-11-26,140.65,142.51,139.00,142.15,138702200,137.09
2012-11-19,137.90,141.40,136.41,141.35,104605800,136.32
2012-11-12,138.59,139.25,134.70,136.37,165962600,131.52
2012-11-05,141.35,143.52,137.55,138.16,170464700,133.24
2012-10-31,141.85,143.72,140.68,141.56,114045400,136.52
2012-10-22,143.15,143.67,140.39,141.35,143659000,136.32
2012-10-15,143.23,146.52,142.77,143.39,135818400,138.29
2012-10-08,145.60,146.12,142.58,142.89,119863800,137.80
2012-10-01,144.52,147.16,143.83,146.14,123954000,140.94
2012-09-24,145.15,146.24,142.95,143.97,127575100,138.85
2012-09-17,146.94,147.19,145.63,145.87,121764000,140.68
2012-09-10,144.19,148.11,143.46,147.24,131621300,141.25
2012-09-04,141.04,144.39,140.13,144.33,121607700,138.45
2012-08-27,141.89,142.08,140.19,141.16,91691400,135.41
2012-08-20,141.98,143.09,140.22,141.51,105605500,135.75
2012-08-13,140.60,142.30,140.04,142.18,91144000,136.39
2012-08-06,139.72,140.92,139.56,140.84,95142000,135.11
2012-07-30,138.52,139.64,135.58,139.35,144606600,133.68
2012-07-23,134.47,139.07,133.03,138.68,168185900,133.03
2012-07-16,135.44,138.18,134.55,136.47,124497400,130.91
2012-07-09,135.38,136.23,132.60,135.75,137324900,130.22
2012-07-02,136.48,137.80,134.85,135.49,121836000,129.97
2012-06-25,132.05,136.27,130.85,136.10,155518100,130.56
2012-06-18,133.58,136.25,132.33,133.46,162099300,128.03
2012-06-11,134.17,134.26,131.16,134.14,184794300,128.68
2012-06-04,128.39,133.53,127.14,133.10,175917200,127.02
2012-05-29,133.16,133.93,128.16,128.16,191170200,122.31
2012-05-21,130.16,133.23,129.95,132.10,176634700,126.07
2012-05-14,134.31,135.61,129.55,129.74,229282700,123.82
2012-05-07,136.51,137.56,134.49,135.61,173105700,129.42
2012-04-30,140.11,141.66,136.92,137.00,142538400,130.74
2012-04-23,136.54,140.79,135.94,140.39,145319500,133.98
2012-04-16,137.84,139.36,136.58,137.95,152290600,131.65
2012-04-09,138.03,139.84,135.76,137.14,168123400,130.88
2012-04-02,140.64,142.21,139.26,139.79,147970800,133.41
2012-03-26,140.65,141.83,139.09,140.81,137809000,134.38
2012-03-19,140.21,141.28,138.55,139.65,125029300,133.27
2012-03-12,137.55,140.78,137.09,140.30,150253900,133.89
2012-03-05,137.10,137.93,134.36,137.57,145278500,130.72
2012-02-27,136.02,138.19,135.80,137.31,145336200,130.47
2012-02-21,136.73,137.20,135.50,136.93,125435200,130.11
2012-02-13,135.32,136.63,134.25,136.41,158560700,129.61
2012-02-06,133.98,135.59,133.64,134.36,139818800,127.67
2012-01-30,130.51,134.62,130.06,134.54,148889400,127.84
2012-01-23,131.51,133.40,130.60,131.82,150226300,125.25
2012-01-17,130.08,131.95,128.90,131.95,140040800,125.38
2012-01-09,128.00,129.70,127.41,128.84,125034500,122.42
2012-01-03,127.76,128.38,126.43,127.71,160707300,121.35
2011-12-27,126.17,126.82,124.73,125.50,106072200,119.25
2011-12-19,122.06,126.43,120.03,126.39,163040900,120.09
2011-12-12,124.95,125.57,121.30,121.59,223839000,115.53
2011-12-05,126.84,127.26,123.65,126.05,218376500,119.01
2011-11-28,119.54,126.50,118.82,124.86,226486300,117.89
2011-11-21,120.20,120.35,116.20,116.34,192498100,109.85
2011-11-14,126.19,127.45,121.23,121.98,225310000,115.17
2011-11-07,125.39,128.02,122.86,126.66,236163200,119.59
2011-10-31,127.16,128.62,121.52,125.48,286001300,118.48
2011-10-24,124.17,129.42,122.21,128.60,275998500,121.42
2011-10-17,121.99,124.12,119.20,123.97,257769100,117.05
2011-10-10,117.68,122.60,117.67,122.57,229047100,115.73
2011-10-03,112.49,117.25,107.43,115.71,335776200,109.25
2011-09-26,114.61,119.56,112.98,113.15,289125100,106.83
2011-09-19,119.53,121.99,111.30,113.54,319570800,107.20
2011-09-12,114.47,121.97,114.05,121.52,301800600,114.74
2011-09-06,114.39,120.94,114.38,115.92,281424200,108.89
2011-08-29,119.56,123.51,117.43,117.85,248844800,110.70
2011-08-22,115.17,119.40,112.41,117.97,295991600,110.81
2011-08-15,119.19,121.20,112.50,112.64,346468900,105.81
2011-08-08,116.91,120.12,110.27,118.12,576882200,110.95
2011-08-01,130.84,130.96,116.86,120.08,443923300,112.79
2011-07-25,133.30,134.49,127.97,129.33,206386000,121.48
2011-07-18,131.08,134.82,129.63,134.58,174367600,126.41
2011-07-11,132.75,133.22,130.68,131.69,212156300,123.70
2011-07-05,133.78,135.70,133.11,134.40,168458000,126.25
2011-06-27,126.89,134.10,126.64,133.92,200892900,125.79
2011-06-20,126.62,129.81,126.19,126.81,217951000,119.12
2011-06-13,127.89,129.77,126.32,127.05,242089100,119.34
2011-06-06,130.09,130.36,127.26,127.60,187980300,119.27
2011-05-31,134.77,134.92,130.08,130.42,208245600,121.90
2011-05-23,131.98,133.87,131.38,133.51,150544300,124.79
2011-05-16,133.56,135.03,132.12,133.61,154332700,124.88
2011-05-09,134.19,136.11,133.39,134.04,150294200,125.29
2011-05-02,137.07,137.18,133.02,134.20,179403800,125.44
2011-04-25,133.68,136.57,133.20,136.43,119054600,127.52
2011-04-18,130.59,133.84,129.51,133.78,156771800,125.04
2011-04-11,133.00,133.45,130.27,132.04,155171700,123.42
2011-04-04,133.43,134.00,132.31,132.86,132129700,124.18
2011-03-28,131.58,133.77,130.44,133.15,132356600,124.45
2011-03-21,129.35,131.87,128.32,131.30,149381300,122.73
2011-03-14,129.99,130.48,125.28,127.76,309593700,119.42
2011-03-07,132.86,133.16,129.49,130.84,214425000,121.77
